question,type,value,notes
1,set,"{'Entire home/apt', 'Private room', 'Shared room'}",
2,float,152.72,tolerance=0.000001
3,set,"{'1500 sq ft apt sleeps 8 - SuperBowl',
 '1BR Superbowl rental Hells Kitchen',
 'Downtown NY Apt - SuperBowl Weekend',
 'MANHATTAN SUPERBOWL ACCOMODATION',
 'NYC SuperBowl Wk 5 Bdrs River View ',
 'PERFECT SUPERBOWL STAY',
 'SUPERBOWL!! 2 Bd, 2 Ba w Roof Deck!',
 'SUPERBOWLSUNDAY! 3BLOCK FROM TIMESQ',
 'Super Apt for Superbowl',
 'SuperBowl Penthouse Loft 3,000 sqft',
 'SuperBowl Weekend Rental! 3 BR/1ba',
 'SuperBowl West Village Apartment',
 'Superbowl - NYC Apartment',
 'Superbowl Studio Upper West Side',
 'Superbowl in the West Village',
 'Tribeca Loft for Superbowl Wknd',
 'UWS MANHATTAN APT FOR SUPERBOWL WE'}",
4,set,"{'*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite with Queen Bed & Free Wifi',
 '*NO GUEST SERVICE FEE* Beekman Tower Studio with Queen Bed & Free Wifi',
 '1 bedroom furnished with WIFI and cable. Murr Hill',
 '2Bed/ 2Bath Impeccable Stylish Brooklyn Home',
 '5min walk to L train - Free WiFi & Cleaning',
 'BIG BEDROOM CLOSE TO LA GUARDIA AIRPORT FREE WIFI',
 'Cable and wfi, L/G included.',
 'Coney Island  Amphitheat  MCU 1 br  Wifi Cable **',
 'Coney Island MCU Park Wi fi Cable Apt****',
 'Cozy, impeccable, sunlit West Village studio',
 'Cozy,budget friendly, cable inc, private entrance!',
 'Explore NYC From Our Private Studio w/Free Wifi',
 'Great Chelsea Location, Couch/2nd bed, Free WiFi',
 'Historic Turret Retreat (Smart TV/Cable/Wifi)',
 'Huge 1bdrm w pt Doorman, WiFi/Cable, Bottled Water',
 'Impeccable Private one&half bedroom and full bath',
 'J- **LUXURY SHARED ROOM 2PPL FREE WIFI+CABLE+AC',
 'J- *LUXURY SHARED ROOM AC FREE WIFI CABLE, GARDEN',
 'J- COZY ROOM FOR 1 FEMALE FREE WIFI & COFFEE',
 'J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE CABLE WIFI',
 'J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE WIFI CABLE',
 'J- LUXURY SHARED ROOM, AC FREE WIFI+CABLE GARDEN',
 'Landmark 1 Bedroom has 2 beds, Free WiFi',
 'Luxury condo- private room + bath w cable TV/W/D',
 'Modern and Safe Place,Free Wifi',
 'Newly renovated 2 bedroom with FREE WIFI',
 'One Bedroom Mini studio - Free WIFI',
 'PRIVATE 1BR APT: Free WIFI & DIRECT TV',
 'Private 2 BR APT: Free WIFI & JACUZZI',
 'Private Bedroom in MANHATTAN (Free Wifi)',
 'Private Studio: Landmark Dt (Smart TV/Wifi/Cable)',
 'Pvt entrance lower level apt w/cable-wi-fi pvt bth',
 'ROOM AC WI-FI PARKING CABLE FOR 2',
 'Staten Island - Free Wifi, Parking Space, Near NYC',
 'Sunny Hudson Yards/ Chelsea Studio, Free WiFi',
 'Tudor Studio (Wifi/Premium Cable) w Private Entry'}",
5,int,2000,
6,int,1760,
7,int,1100,
8,int,3000,
9,int,0,
10,int,1500,
11,str,'Manhattan',case=strict
12,str,'Kensington',case=strict
13,str,'missing',case=strict
14,str,'missing',case=strict
15,dict,"{'Kensington': 175,
 'missing': 45985,
 'Harlem': 2658,
 'Allerton': 42,
 'Woodrow': 1,
 'Belmont': 24,
 'Baychester': 7,
 'Westerleigh': 2,
 'Willowbrook': 1}",
16,list,"['Kensington', 'Midtown', 'Harlem', 'Clinton Hill']",order=strict
17,dict,"{'Brooklyn': 20104,
 'Manhattan': 21661,
 'Queens': 5666,
 'Staten Island': 373,
 'Bronx': 1091}",
18,list,"['The Cottage / 1500 sqft. of Privacy',
 '30+ Day Stay-2000 sq ft Guest House, Deck, Rooftop',
 'Luxury home, 2700 sq ft, 20 m to airports/City/LI!']",require=superset
19,list,"['4500 SQ FT Quiet Brooklyn Loft for Shoots & Events',
 '2800 SQ FT Loft for Off-Sites, Events, & Shoots',
 'LUXURIOUS, TOWNHOME WITH PRIVATE ROOF - 2500 SQ FT',
 'Beautiful 5100 SQ FT Industrial Brooklyn Loft',
 'Private Bedroom in 5,000 sq ft DoBro Penthouse']",require=superset
20,list,"['SuperBowl Penthouse Loft 3,000 sqft',
 'Stylish 3,000 sq ft loft in TriBeCa',
 'SOHO,TRIBECA,LOFT,4500sqft.',
 'Ultimate 50th Floor Downtown Penthouse  - 4000SqFt',
 '4000 SqFt Luxury Penthouse  - Downtown NYC',
 'Private Room in Beautiful 3000 sq ft Loft!',
 'Luxury Union Square Loft (3000 sq ft)',
 '3000 sq ft daylight photo studio']",require=superset
