GEOID,POSITIVE,DEATHS,HOSP_YES
55009940002,555,,17.0
55009001600,880,10.0,67.0
55009001801,616,9.0,31.0
55009001802,514,,9.0
55009002001,1141,19.0,74.0
55009002002,603,,30.0
55009002003,529,,16.0
55009010100,682,,29.0
55009010300,714,,26.0
55009020100,684,,44.0
55009020502,592,,37.0
55117011100,283,,12.0
55117000500,418,7.0,31.0
55117010700,892,15.0,31.0
55117010300,315,,13.0
55117000400,489,8.0,27.0
55117000800,615,,27.0
55117000100,362,,15.0
55117010800,432,,17.0
55117000300,828,11.0,41.0
55117010100,139,,
55117010400,1078,5.0,18.0
55131440200,399,,15.0
55131460102,570,6.0,16.0
55131470202,691,13.0,34.0
55113100400,183,,9.0
55113100800,95,6.0,11.0
55113100300,529,6.0,29.0
55113100700,153,,11.0
55101002800,603,8.0,30.0
55031030100,669,14.0,26.0
55031020800,295,,18.0
55031030200,460,,10.0
55031030300,451,,20.0
55031020400,306,12.0,7.0
55031021000,187,,8.0
55125950700,409,5.0,26.0
55125940000,321,5.0,20.0
55125950600,351,8.0,30.0
55085970102,281,5.0,12.0
55085971002,232,,15.0
55085970101,130,,9.0
55085971001,127,,9.0
55085970601,165,,7.0
55085970602,310,,14.0
55111000402,316,,16.0
55111001002,227,5.0,13.0
55111001001,720,7.0,45.0
55113940000,330,5.0,11.0
55113100500,343,8.0,16.0
55131400103,374,,5.0
55131450106,666,,17.0
55131440104,559,8.0,23.0
55131440105,395,,15.0
55059000602,872,38.0,67.0
55059002601,802,15.0,44.0
55059002602,1002,22.0,62.0
55059002904,393,,17.0
55059002903,272,,20.0
55059003002,313,,19.0
55073002200,324,13.0,32.0
55073001201,1108,,41.0
55073001800,613,6.0,33.0
55073001900,738,13.0,33.0
55073001600,597,5.0,24.0
55073002100,650,9.0,38.0
55073001700,402,8.0,26.0
55073000400,632,6.0,26.0
55073000100,364,,22.0
55073001102,984,15.0,52.0
55073001103,562,,24.0
55073001400,927,28.0,49.0
55001950700,333,,16.0
55001950400,429,6.0,28.0
55001950100,334,,23.0
55013970900,277,11.0,21.0
55013970400,366,6.0,38.0
55013971000,145,,11.0
55013970700,223,,22.0
55013970800,241,,19.0
55013970600,149,,15.0
55009020800,312,11.0,34.0
55009000402,259,,19.0
55029100800,502,,18.0
55009010201,428,,23.0
55009000100,262,,14.0
55009000200,636,8.0,36.0
55009010202,746,12.0,27.0
55009940003,450,,33.0
55117000900,663,5.0,33.0
55117001000,855,17.0,47.0
55117001100,425,6.0,19.0
55117010200,512,5.0,15.0
55015020200,471,,31.0
55015020100,558,11.0,39.0
55117010900,393,,14.0
55117011000,254,,17.0
55117011200,329,,17.0
55009940004,335,,19.0
55009000302,511,,29.0
55009000401,540,,28.0
55009000500,273,,16.0
55009000600,465,6.0,27.0
55009000700,535,,24.0
55009000800,172,,10.0
55009000900,507,,34.0
55009001000,140,,15.0
55009001200,281,,19.0
55009001300,284,,16.0
55009001400,476,5.0,34.0
55107960500,368,10.0,30.0
55107960200,188,,18.0
55107960400,228,,16.0
55107960300,223,,16.0
55107960100,333,5.0,25.0
55061960500,661,9.0,32.0
55061960200,235,,14.0
55061960400,1147,11.0,59.0
55061960100,295,,22.0
55133200801,492,,14.0
55133201000,647,12.0,22.0
55133203406,718,6.0,31.0
55133203803,392,,23.0
55133201900,675,18.0,36.0
55133200300,477,,13.0
55133203500,708,,25.0
55133201101,504,,13.0
55133201800,168,,8.0
55133203601,447,,27.0
55133204002,570,6.0,36.0
55133203200,500,,26.0
55133203000,243,,16.0
55133202001,512,,28.0
55133202301,473,6.0,22.0
55133200600,208,,14.0
55133200700,329,,11.0
55133200400,726,10.0,31.0
55133200500,608,12.0,22.0
55045960500,398,,14.0
55045960100,609,,34.0
55045960400,453,7.0,48.0
55045960800,426,,15.0
55045960300,432,,25.0
55045960200,405,,22.0
55045960600,358,,15.0
55045960700,357,,15.0
55015020400,287,,17.0
55079016200,604,6.0,49.0
55079018700,612,,35.0
55079018800,357,,17.0
55079018900,317,5.0,18.0
55079019000,627,7.0,31.0
55079019100,570,9.0,61.0
55079016500,412,,28.0
55079016600,294,,20.0
55079016700,543,5.0,39.0
55079016800,507,,33.0
55079017000,1046,11.0,71.0
55079016300,703,6.0,42.0
55079016400,783,10.0,74.0
55109120100,159,,
55069960100,171,,10.0
55069960700,370,,15.0
55069960800,366,8.0,16.0
55069960600,443,,16.0
55069960400,197,,6.0
55069960900,281,,16.0
55069960500,192,7.0,11.0
55069960300,172,,11.0
55127000600,524,7.0,21.0
55127000200,449,6.0,21.0
55069960200,310,14.0,18.0
55069961000,451,18.0,16.0
55129950100,188,,13.0
55129950300,261,,19.0
55129950600,375,6.0,28.0
55129950500,521,11.0,41.0
55129950200,149,,9.0
55023960200,161,,12.0
55023960500,188,,9.0
55023960600,743,8.0,23.0
55023960300,155,,13.0
55023960400,290,7.0,27.0
55023960100,154,,13.0
55093960200,495,,17.0
55093960100,268,,13.0
55093960400,476,,11.0
55093960700,561,13.0,19.0
